first_name,last_name,role
Tooru,Fujisawa,"['Story', 'Art', 'Story & Art']"
Yuu,Watase,"['Story', 'Art', 'Story & Art']"
Ryo,Ueda,['Art']
Ryou,Ikuemi,"['Story', 'Art', 'Story & Art']"
Runa,Okada,['Story']
Yonezou,Nekota,"['Story', 'Art', 'Story & Art']"
Shiho,Watanabe,"['Story', 'Art', 'Story & Art']"
Chikara,Takaoka,['Story']
Yoshihiro,Tatsumi,"['Story', 'Art', 'Story & Art']"
Kei,Kusunoki,"['Story', 'Art', 'Story & Art']"
Kou,Fujisaki,"['Story', 'Art', 'Story & Art']"
Natsume,Ono,"['Story', 'Art', 'Story & Art']"
Eiki,Eiki,"['Story', 'Art', 'Story & Art']"
Nozomu,Tamaki,"['Story', 'Art', 'Story & Art']"
Tanuki,Ookuma,['Story']
Shigeyoshi,Takagi,"['Story', 'Art', 'Story & Art']"
Rie,Honjou,"['Story', 'Art', 'Story & Art']"
Dal Young,Im,['Story']
Nabako,Kamo,"['Story', 'Art', 'Story & Art']"
Shin,Mizukami,"['Story', 'Art', 'Story & Art']"
Miyuki,Kitagawa,"['Story', 'Art', 'Story & Art']"
Setona,Mizushiro,"['Story', 'Art', 'Story & Art']"
,Asahiko,['Art']
Tomoko,Yamashita,"['Story', 'Art', 'Story & Art']"
Yuki,Azuma,"['Story', 'Art', 'Story & Art']"
,Yukirin,['Art']
Kokko,Tsukiya,['Story']
Tarou,Takahama,"['Story', 'Art', 'Story & Art']"
Shushushu,Sakurai,"['Story', 'Art', 'Story & Art']"
Tail,Yuzuhara,['Story']
Yuki,Shiraishi,"['Story', 'Art', 'Story & Art']"
Masashi,Kishimoto,"['Story', 'Art', 'Story & Art']"
Rensuke,Oshikiri,"['Story', 'Art', 'Story & Art']"
Takeshi,Obata,"['Story', 'Art', 'Story & Art']"
,Maimai,['Story']
Akane,Abe,"['Story', 'Art', 'Story & Art']"
Ryou,Mizuno,['Story']
Hiraku,Miura,"['Story', 'Art', 'Story & Art']"
Ema,Tooyama,"['Story', 'Art', 'Story & Art']"
Tetsuhiro,Nabeshima,['Art']
,nira.,['Art']
Mika,Sadahiro,"['Story', 'Art', 'Story & Art']"
Tsutomu,Takahashi,"['Story', 'Art', 'Story & Art']"
Tsukasa,Matsuzaki,"['Story', 'Art', 'Story & Art']"
Yun,Kouga,"['Story', 'Art', 'Story & Art']"
Ken,Ishikawa,"['Story', 'Art', 'Story & Art']"
Usamaru,Furuya,"['Story', 'Art', 'Story & Art']"
Mariko,Shimizu,['Story']
Rein,Kuwashima,"['Story', 'Art', 'Story & Art']"
,Tsuyatsuya,"['Story', 'Art', 'Story & Art']"
Ryoichi,Ikegami,"['Story', 'Art', 'Story & Art']"
Makoto,Fukami,['Story']
Akira,Kanbe,"['Story', 'Art', 'Story & Art']"
,Miyama-Zero,['Art']
Kazuhiko,Shimamoto,"['Story', 'Art', 'Story & Art']"
Asia,Watanabe,"['Story', 'Art', 'Story & Art']"
Ryuta,Amazume,"['Story', 'Art', 'Story & Art']"
Shin,Araki,['Story']
Mieko,Koide,"['Story', 'Art', 'Story & Art']"
,Chi-Ran,"['Story', 'Art', 'Story & Art']"
Satoshi,Goma,['Art']
Tarou,089,['Story']
Ayane,Ukyou,"['Story', 'Art', 'Story & Art']"
Rumiko,Takahashi,"['Story', 'Art', 'Story & Art']"
Izumi,Toudou,['Story']
Hirohiko,Tatsumi,['Story']
,Buronson,['Story']
Riyoko,Ikeda,"['Story', 'Art', 'Story & Art']"
Nana,Shiiba,"['Story', 'Art', 'Story & Art']"
Waki,Yamato,"['Story', 'Art', 'Story & Art']"
Akira,Yamaguchi,['Story']
Rio,Yanagawa,"['Story', 'Art', 'Story & Art']"
Kou,Takasugi,"['Story', 'Art', 'Story & Art']"
,Shirabi,['Art']
Gou,Tsukumo,"['Story', 'Art', 'Story & Art']"
,Magica Quartet,['Story']
Saika,Kunieda,"['Story', 'Art', 'Story & Art']"
Yuna,Anisaki,"['Story', 'Art', 'Story & Art']"
,Circus,['Story']
,Blue Gale,['Story']
Takako,Shimura,"['Story', 'Art', 'Story & Art']"
,Shiwasu no Okina,"['Story', 'Art', 'Story & Art']"
,DISTANCE,"['Story', 'Art', 'Story & Art']"
Tarou,Achi,['Story']
Mio,Tennouji,"['Story', 'Art', 'Story & Art']"
Hirohiko,Araki,"['Story', 'Art', 'Story & Art']"
Tsutomu,Satou,['Story']
